hotelID,hotelName,latitude,longitude,dateEstablished,managerUserID
1,eyeg,94.77143,25.58018,3/13/1953,25
2,yvmx,86.24725,3.65924,4/3/1955,20
3,tblw,9.25529,14.25107,12/30/1938,10
4,ztui,1.17467,59.02306,4/17/1954,20
5,klzm,42.09624,53.95855,9/7/1984,40
6,kpiy,30.40891,64.67752,3/23/1971,51
7,rzqq,81.23403,87.33908,5/5/1950,10
8,txyh,7.18984,49.59534,4/7/1971,51
9,lafo,10.68398,75.92809,12/2/1968,87
10,xyjy,9.74699,17.30386,9/11/1908,51
11,dhya,17.00988,10.88299,5/19/1998,87
12,lroe,81.01829,14.13033,6/13/1958,10
13,pnvz,3.44447,28.84102,12/5/1926,10
14,jnsr,21.9241,22.35476,10/17/1966,40
15,yqyz,30.79825,88.31944,8/12/1933,40
16,zijt,74.18743,0.30349,11/24/1975,40
17,fmpw,62.55863,1.1635,12/13/1957,20
18,rpiz,77.79567,62.75695,2/21/1927,51
19,acry,17.99248,58.7644,11/24/1956,25
20,egxf,40.64981,53.62325,5/10/1970,25